Company Name,Symbol,,Symbol,Symbol,US,Exercise,,,,,,Symbol,,Wts,1 Month,,,Days ,Fair,,,
Click on Company for News,CEO.ca ,Warrant,Yahoo,Canadian,Warrant,Price,,  Price  of  ,Expiration,Intrinsic,,Stockhouse,Time,Per,Historic,Warrant,Accel.,Until,Market,Comments,,
and Charts,BullBoard,CUSIP NO,Finace,Insider,Symbol,Cdn$,Currency,Common,Date,Value,Leverage,Bullboard,Value,Share,Volatility,Price,Clause,Expiry,Value,,,Discount
Aretto Wellness Inc,ARTO.WT.CN,03990C 11 7,,ARTO.CN,,12,CAD,0.03,05-Mar-24,-11.97,0.15,ARTO.WT.CN,$0.00,20,182.60%,0.01,,73,0,Very Overvalued,,0
Sintana Energy Inc,SEI.WT.VN,82938H 12 3,,SEI.VN,,0.25,CAD,0.265,08-Mar-24,0.02,5.89,SEI.WT.VN,$0.00,1,73.10%,0.045,,76,0.04,Fair Market Value,,0.89
Aurora Cannabis Inc,ACB.WT.U.TO,05156X 16 5,ACB,ACB.TO,,9,USD,0.4827,16-Mar-24,-8.52,96.54,ACB.WT.U.TO,$0.00,1,62.20%,0.005,,84,0,Very Overvalued,,0
Sugarbud Craft Growers ,SUGR.WR.VN,865001 17 6,,SUGR.VN,,5,CAD,0.11,16-Mar-24,-4.89,0.22,SUGR.WR.VN,$0.00,100,183.90%,0.005,,84,0,Very Overvalued,,0
Arht Media Inc,ART.WT.VN,040328 12 2,,ART.VN,,0.33,CAD,0.06,17-Mar-24,-0.27,12,ART.WT.VN,$0.00,1,164.90%,0.005,,85,0,Very Overvalued,,0
Delivra Health Brands Inc,DHB.WT.VN,41755P 14 7,,DHB.VN,,0.2,CAD,0.02,17-Mar-24,-0.18,4,DHB.WT.VN,$0.00,1,175.20%,0.005,,85,0,Very Overvalued,,0
Avant Brands Inc,AVNT.WT.TO,05353D 11 1,,AVNT.TO,,1.04,CAD,0.135,30-Mar-24,-0.91,27,AVNT.WT.VN,$0.00,1,42.50%,0.005,,98,0,Very Overvalued,,0
Wildpack Beverage Inc,CANS.WT.B.VN,96812Y 16 8,,CANS.VN,,1.5,CAD,0.055,31-Mar-24,-1.45,5.5,CANS.WT.B.VN,$0.00,1,186.70%,0.01,,99,0,Very Overvalued,,0
Aurania Resources Ltd,ARU.WT.A.VN,G06974 21 7,,ARU.VN,,4.25,CAD,0.31,01-Apr-24,-3.94,62,ARU.WT.A.VN,$0.00,1,67.90%,0.005,,99,0,Very Overvalued,,0
HEXO Corp,HEXO.WT.A.TO,428304 17 4,NCNNF,HEXO.TO,,"1,017.75",CAD,0.88,02-Apr-24,"-1,016.87",12.57,HEXO.WT.A.VN,$0.00,14,74.30%,0.005,3.30/10 days,100,0,Very Overvalued,,0
Giga Metals Corp,GIGA.WT.VN,37518K 11 0,,GIGA.VN,,0.6,CAD,0.19,23-Apr-24,-0.41,38,GIGA.WT.VN,$0.00,1,58.30%,0.005,,121,0,Very Overvalued,,0
Columbia Care LLC,CCHW.WT.NE,197309 11 5,CCHWF,CCHW.NE,,10.35,CAD,1.73,26-Apr-24,-8.62,115.33,CCHW.WT.NE,$0.00,3,152.20%,0.005,,124,0.01,Bargain,,2
